N,C,H,W,iter,Eager time (ms),Eager time (ms/iter),Graph time (ms),Graph time (ms/iter),Speedup
1,1,256,256,20,0.00593235,0.000296617,0.000673558,3.36779e-05,8.807482
1,1,512,512,20,0.00564922,0.000282461,0.0013096,6.548e-05,4.313699
1,1,1024,1024,20,0.00790086,0.000395043,0.00457396,0.000228698,1.727357
1,1,2048,2048,20,0.0332625,0.00166312,0.0299469,0.00149734,1.110716
1,1,4096,4096,20,0.121454,0.00607269,0.117466,0.00587332,1.033950
1,4,256,256,20,0.00637771,0.000318885,0.0019908,9.954e-05,3.203592
1,4,512,512,20,0.00990875,0.000495438,0.00670962,0.000335481,1.476797
1,4,1024,1024,20,0.0283709,0.00141855,0.0252508,0.00126254,1.123564
1,4,2048,2048,20,0.102504,0.00512521,0.0993748,0.00496874,1.031489
1,4,4096,4096,20,0.396631,0.0198316,0.378512,0.0189256,1.047869
4,1,256,256,20,0.00610407,0.000305203,0.00137411,6.87055e-05,4.442199
4,1,512,512,20,0.00816451,0.000408225,0.0047657,0.000238285,1.713182
4,1,1024,1024,20,0.0202269,0.00101135,0.0168791,0.000843956,1.198340
4,1,2048,2048,20,0.121383,0.00606916,0.117856,0.00589282,1.029926
4,1,4096,4096,20,0.467942,0.0233971,0.441153,0.0220576,1.060725
4,4,256,256,20,0.00989477,0.000494738,0.00658851,0.000329426,1.501822
4,4,512,512,20,0.0266604,0.00133302,0.0234733,0.00117367,1.135776
4,4,1024,1024,20,0.0951407,0.00475704,0.0918066,0.00459033,1.036317
4,4,2048,2048,20,0.36879,0.0184395,0.35228,0.017614,1.046866
4,4,4096,4096,20,1.41492,0.0707461,1.40737,0.0703684,1.005365
